sample_id	mRNA_srrs	sgRNA_srrs
15	SRR28689932;SRR28689934;SRR28689936;SRR28689938;SRR28689940;SRR28690282;SRR28690284;SRR28690286;SRR28690288;SRR28690290;SRR28690293;SRR28690657;SRR28690659;SRR28690661;SRR28690663;SRR28690665	SRR28689931;SRR28689933;SRR28689935;SRR28689937;SRR28689939;SRR28689942;SRR28690283;SRR28690285;SRR28690287;SRR28690289;SRR28690292;SRR28690658;SRR28690660;SRR28690662;SRR28690664;SRR28690667
16	SRR28689921;SRR28689923;SRR28689925;SRR28689927;SRR28689929;SRR28690135;SRR28690138;SRR28690140;SRR28690142;SRR28690144;SRR28690146;SRR28690150;SRR28690152;SRR28690154;SRR28690156;SRR28690158	SRR28689920;SRR28689922;SRR28689924;SRR28689926;SRR28689928;SRR28690137;SRR28690139;SRR28690141;SRR28690143;SRR28690145;SRR28690149;SRR28690151;SRR28690153;SRR28690155;SRR28690157;SRR28690443
17	SRR28690420;SRR28690422;SRR28690425;SRR28690427;SRR28690429;SRR28690431;SRR28690433;SRR28690436;SRR28690438;SRR28690440;SRR28690442;SRR28690646;SRR28690648;SRR28690651;SRR28690653;SRR28690655	SRR28690421;SRR28690424;SRR28690426;SRR28690428;SRR28690430;SRR28690432;SRR28690435;SRR28690437;SRR28690439;SRR28690441;SRR28690645;SRR28690647;SRR28690650;SRR28690652;SRR28690654;SRR28690656
18	SRR28689897;SRR28689899;SRR28689901;SRR28689904;SRR28689906;SRR28689908;SRR28689910;SRR28689912;SRR28689915;SRR28689917;SRR28690633;SRR28690635;SRR28690637;SRR28690640;SRR28690642;SRR28690644	SRR28689896;SRR28689898;SRR28689900;SRR28689903;SRR28689905;SRR28689907;SRR28689909;SRR28689911;SRR28689914;SRR28689916;SRR28689918;SRR28690634;SRR28690636;SRR28690639;SRR28690641;SRR28690643
19	SRR28689885;SRR28689887;SRR28689889;SRR28689891;SRR28689895;SRR28690609;SRR28690611;SRR28690613;SRR28690615;SRR28690617;SRR28690620;SRR28690622;SRR28690624;SRR28690626;SRR28690628;SRR28690631	SRR28689884;SRR28689886;SRR28689888;SRR28689890;SRR28689894;SRR28690610;SRR28690612;SRR28690614;SRR28690616;SRR28690619;SRR28690621;SRR28690623;SRR28690625;SRR28690627;SRR28690630;SRR28690632
20	SRR28689872;SRR28689874;SRR28689876;SRR28689878;SRR28689880;SRR28689883;SRR28690114;SRR28690116;SRR28690118;SRR28690120;SRR28690122;SRR28690125;SRR28690127;SRR28690129;SRR28690131;SRR28690133	SRR28689871;SRR28689873;SRR28689875;SRR28689877;SRR28689879;SRR28689882;SRR28690113;SRR28690115;SRR28690117;SRR28690119;SRR28690121;SRR28690124;SRR28690126;SRR28690128;SRR28690130;SRR28690132
21	SRR28690111;SRR28690396;SRR28690398;SRR28690401;SRR28690403;SRR28690405;SRR28690407;SRR28690409;SRR28690412;SRR28690414;SRR28690416;SRR28690418;SRR28690600;SRR28690603;SRR28690605;SRR28690607	SRR28690397;SRR28690400;SRR28690402;SRR28690404;SRR28690406;SRR28690408;SRR28690411;SRR28690413;SRR28690415;SRR28690417;SRR28690419;SRR28690599;SRR28690602;SRR28690604;SRR28690606;SRR28690608
22	SRR28689850;SRR28689852;SRR28689856;SRR28689858;SRR28689860;SRR28689862;SRR28689864;SRR28689867;SRR28689869;SRR28690585;SRR28690587;SRR28690589;SRR28690592;SRR28690594;SRR28690596;SRR28690598	SRR28689849;SRR28689851;SRR28689855;SRR28689857;SRR28689859;SRR28689861;SRR28689863;SRR28689866;SRR28689868;SRR28689870;SRR28690586;SRR28690588;SRR28690591;SRR28690593;SRR28690595;SRR28690597
23	SRR28689848;SRR28690088;SRR28690090;SRR28690092;SRR28690094;SRR28690097;SRR28690099;SRR28690101;SRR28690103;SRR28690105;SRR28690108;SRR28690110;SRR28690388;SRR28690390;SRR28690392;SRR28690395	SRR28689847;SRR28690087;SRR28690089;SRR28690091;SRR28690093;SRR28690096;SRR28690098;SRR28690100;SRR28690102;SRR28690104;SRR28690107;SRR28690109;SRR28690387;SRR28690389;SRR28690391;SRR28690394
24	SRR28690373;SRR28690375;SRR28690377;SRR28690379;SRR28690381;SRR28690384;SRR28690386;SRR28690566;SRR28690568;SRR28690570;SRR28690572;SRR28690575;SRR28690577;SRR28690579;SRR28690581;SRR28690583	SRR28690372;SRR28690374;SRR28690376;SRR28690378;SRR28690380;SRR28690383;SRR28690385;SRR28690565;SRR28690567;SRR28690569;SRR28690571;SRR28690574;SRR28690576;SRR28690578;SRR28690580;SRR28690582
