sample_id	mRNA_srrs	sgRNA_srrs
gemgroup_1	SRR9602535;SRR9602536	SRR9602551;SRR9602552
gemgroup_2	SRR9602537;SRR9602538	SRR9602553;SRR9602554
gemgroup_3	SRR9602539;SRR9602540	SRR9602555;SRR9602556
gemgroup_4	SRR9602541;SRR9602542	SRR9602557;SRR9602558
gemgroup_5	SRR9602543;SRR9602544	SRR9602559;SRR9602560
gemgroup_6	SRR9602545;SRR9602546	SRR9602561;SRR9602562
gemgroup_7	SRR9602547;SRR9602548	SRR9602563;SRR9602564
gemgroup_8	SRR9602549;SRR9602550	SRR9602565;SRR9602566
