sample_id	mRNA_srrs	sgRNA_srrs
KD6_seq1_essential_lane_32	SRR19330838;SRR19330839;SRR19330840;SRR19330841;SRR19330842;SRR19330843;SRR19330844;SRR19330845	SRR19330833;SRR19330834;SRR19330835;SRR19330836
KD6_seq1_essential_lane_33	SRR19330824;SRR19330825;SRR19330827;SRR19330828;SRR19330829;SRR19330830;SRR19330831;SRR19330832	SRR19330820;SRR19330821;SRR19330822;SRR19330823
KD6_seq1_essential_lane_34	SRR19330816;SRR19330817;SRR19330818;SRR19330819;SRR19331035;SRR19331036;SRR19331037;SRR19331038	SRR19331031;SRR19331032;SRR19331033;SRR19331034
KD6_seq1_essential_lane_35	SRR19331022;SRR19331023;SRR19331024;SRR19331025;SRR19331026;SRR19331027;SRR19331029;SRR19331030	SRR19331018;SRR19331019;SRR19331020;SRR19331021
KD6_seq1_essential_lane_36	SRR19331015;SRR19331016;SRR19331303;SRR19331304;SRR19331305;SRR19331306;SRR19331307;SRR19331308	SRR19331298;SRR19331299;SRR19331301;SRR19331302
KD6_seq1_essential_lane_37	SRR19331290;SRR19331291;SRR19331292;SRR19331293;SRR19331294;SRR19331295;SRR19331296;SRR19331297	SRR19331285;SRR19331286;SRR19331287;SRR19331288
KD6_seq1_essential_lane_38	SRR19330805;SRR19330806;SRR19330808;SRR19330809;SRR19330810;SRR19330811;SRR19330812;SRR19330813	SRR19330801;SRR19330802;SRR19330803;SRR19330804
KD6_seq1_essential_lane_39	SRR19330792;SRR19330793;SRR19330794;SRR19330795;SRR19330797;SRR19330798;SRR19330799;SRR19330800	SRR19330548;SRR19330549;SRR19330790;SRR19330791
KD6_seq1_essential_lane_40	SRR19330539;SRR19330540;SRR19330541;SRR19330542;SRR19330543;SRR19330544;SRR19330546;SRR19330547	SRR19330535;SRR19330536;SRR19330537;SRR19330538
KD6_seq1_essential_lane_41	SRR19330526;SRR19330527;SRR19330528;SRR19330529;SRR19330530;SRR19330531;SRR19330532;SRR19330533	SRR19331010;SRR19331011;SRR19331013;SRR19331014
KD6_seq1_essential_lane_42	SRR19331002;SRR19331003;SRR19331004;SRR19331005;SRR19331006;SRR19331007;SRR19331008;SRR19331009	SRR19330996;SRR19330997;SRR19330998;SRR19330999
KD6_seq1_essential_lane_43	SRR19330991;SRR19330992;SRR19330993;SRR19330994;SRR19330995;SRR19331281;SRR19331282;SRR19331284	SRR19331277;SRR19331278;SRR19331279;SRR19331280
KD6_seq1_essential_lane_44	SRR19331268;SRR19331269;SRR19331270;SRR19331271;SRR19331273;SRR19331274;SRR19331275;SRR19331276	SRR19331264;SRR19331265;SRR19331266;SRR19331267
KD6_seq1_essential_lane_45	SRR19330784;SRR19330785;SRR19330786;SRR19330787;SRR19330788;SRR19330789;SRR19331262;SRR19331263	SRR19330780;SRR19330781;SRR19330782;SRR19330783
KD6_seq1_essential_lane_46	SRR19330771;SRR19330772;SRR19330773;SRR19330774;SRR19330775;SRR19330776;SRR19330777;SRR19330778	SRR19330766;SRR19330767;SRR19330769;SRR19330770
KD6_seq1_essential_lane_47	SRR19330518;SRR19330519;SRR19330520;SRR19330521;SRR19330522;SRR19330523;SRR19330524;SRR19330525	SRR19330513;SRR19330514;SRR19330515;SRR19330516
KD6_seq1_essential_lane_48	SRR19330504;SRR19330505;SRR19330507;SRR19330508;SRR19330509;SRR19330510;SRR19330511;SRR19330512	SRR19330502;SRR19330503;SRR19330989;SRR19330990
