sample_id	mRNA_srrs	sgRNA_srrs
RD7_seq1_RPE1_11_4	SRR19488948;SRR19488954;SRR19488965;SRR19488986	SRR19488928;SRR19488935;SRR19488941;SRR19488946
RD7_seq1_RPE1_12_1	SRR19488902;SRR19488903;SRR19488916;SRR19488932	SRR19488880;SRR19488898;SRR19488901;SRR19488934
RD7_seq1_RPE1_12_2	SRR19488909;SRR19488918;SRR19488924;SRR19488933	SRR19488881;SRR19488899;SRR19488906;SRR19488910
RD7_seq1_RPE1_12_3	SRR19488905;SRR19488917;SRR19488920;SRR19488945	SRR19488897;SRR19488908;SRR19488912;SRR19488914
RD7_seq1_RPE1_12_4	SRR19488919;SRR19488921;SRR19488922;SRR19488931	SRR19488904;SRR19488907;SRR19488911;SRR19488915
RD7_seq1_RPE1_13_1	SRR19488883;SRR19488887;SRR19488891;SRR19488895	SRR19488872;SRR19488873;SRR19488877;SRR19489829
RD7_seq1_RPE1_13_2	SRR19488882;SRR19488884;SRR19488890;SRR19488896	SRR19488878;SRR19489825;SRR19489831;SRR19489833
RD7_seq1_RPE1_13_3	SRR19488885;SRR19488888;SRR19488894;SRR19489819	SRR19488874;SRR19488876;SRR19489824;SRR19489832
RD7_seq1_RPE1_13_4	SRR19488886;SRR19488892;SRR19488893;SRR19489820	SRR19488875;SRR19489818;SRR19489823;SRR19489828
RD7_seq1_RPE1_14_1	SRR19489809;SRR19489811;SRR19489813;SRR19489827	SRR19488862;SRR19489790;SRR19489794;SRR19489803
RD7_seq1_RPE1_14_2	SRR19489797;SRR19489798;SRR19489807;SRR19489822	SRR19488863;SRR19489791;SRR19489793;SRR19489802
RD7_seq1_RPE1_14_3	SRR19489799;SRR19489810;SRR19489814;SRR19489816	SRR19489796;SRR19489800;SRR19489801;SRR19489826
RD7_seq1_RPE1_14_4	SRR19489808;SRR19489812;SRR19489815;SRR19489821	SRR19488861;SRR19489792;SRR19489795;SRR19489804
RD7_seq1_RPE1_15_1	SRR19488867;SRR19489366;SRR19489778;SRR19489789	SRR19488871;SRR19489257;SRR19489360;SRR19489781
RD7_seq1_RPE1_15_2	SRR19488865;SRR19488868;SRR19488869;SRR19489787	SRR19489256;SRR19489362;SRR19489782;SRR19489784
RD7_seq1_RPE1_15_3	SRR19488858;SRR19488864;SRR19489779;SRR19489788	SRR19489363;SRR19489780;SRR19489783;SRR19489785
RD7_seq1_RPE1_15_4	SRR19488866;SRR19488870;SRR19489367;SRR19489777	SRR19489358;SRR19489361;SRR19489364;SRR19489365
RD7_seq1_RPE1_16_1	SRR19489255;SRR19489767;SRR19489770;SRR19489772	SRR19489232;SRR19489248;SRR19489251;SRR19489765
RD7_seq1_RPE1_16_2	SRR19489260;SRR19489762;SRR19489763;SRR19489775	SRR19489241;SRR19489245;SRR19489247;SRR19489258
RD7_seq1_RPE1_16_3	SRR19489261;SRR19489764;SRR19489768;SRR19489773	SRR19489230;SRR19489244;SRR19489246;SRR19489249
RD7_seq1_RPE1_16_4	SRR19489769;SRR19489771;SRR19489774;SRR19489776	SRR19489231;SRR19489250;SRR19489252;SRR19489259
RD7_seq1_RPE1_17_1	SRR19489211;SRR19489224;SRR19489237;SRR19489238	SRR19489190;SRR19489208;SRR19489233;SRR19489243
RD7_seq1_RPE1_17_2	SRR19489210;SRR19489225;SRR19489228;SRR19489235	SRR19489214;SRR19489216;SRR19489218;SRR19489234
RD7_seq1_RPE1_17_3	SRR19489212;SRR19489226;SRR19489236;SRR19489239	SRR19489193;SRR19489215;SRR19489217;SRR19489222
RD7_seq1_RPE1_17_4	SRR19489223;SRR19489227;SRR19489229;SRR19489240	SRR19489192;SRR19489207;SRR19489213;SRR19489221
RD7_seq1_RPE1_18_1	SRR19489172;SRR19489198;SRR19489203;SRR19489204	SRR19489177;SRR19489180;SRR19489184;SRR19489747
RD7_seq1_RPE1_18_2	SRR19489194;SRR19489196;SRR19489200;SRR19489201	SRR19489176;SRR19489182;SRR19489186;SRR19489189
RD7_seq1_RPE1_18_3	SRR19489174;SRR19489197;SRR19489202;SRR19489206	SRR19489178;SRR19489183;SRR19489187;SRR19489188
RD7_seq1_RPE1_18_4	SRR19489171;SRR19489173;SRR19489195;SRR19489205	SRR19489170;SRR19489175;SRR19489181;SRR19489185
RD7_seq1_RPE1_19_1	SRR19489744;SRR19489753;SRR19489757;SRR19489759	SRR19489425;SRR19489435;SRR19489738;SRR19489749
RD7_seq1_RPE1_19_2	SRR19489168;SRR19489746;SRR19489752;SRR19489760	SRR19489438;SRR19489741;SRR19489742;SRR19489748
RD7_seq1_RPE1_19_3	SRR19489750;SRR19489754;SRR19489755;SRR19489761	SRR19489427;SRR19489437;SRR19489739;SRR19489743
RD7_seq1_RPE1_19_4	SRR19489167;SRR19489745;SRR19489756;SRR19489758	SRR19489424;SRR19489426;SRR19489436;SRR19489439
RD7_seq1_RPE1_20_1	SRR19489418;SRR19489421;SRR19489423;SRR19489433	SRR19489151;SRR19489159;SRR19489349;SRR19489351
RD7_seq1_RPE1_20_2	SRR19489153;SRR19489417;SRR19489430;SRR19489434	SRR19489148;SRR19489156;SRR19489162;SRR19489165
RD7_seq1_RPE1_20_3	SRR19489416;SRR19489420;SRR19489422;SRR19489429	SRR19489149;SRR19489161;SRR19489163;SRR19489164
RD7_seq1_RPE1_20_4	SRR19489152;SRR19489154;SRR19489428;SRR19489432	SRR19489150;SRR19489155;SRR19489160;SRR19489350
RD7_seq1_RPE1_21_1	SRR19489353;SRR19489357;SRR19489731;SRR19489735	SRR19489334;SRR19489337;SRR19489347;SRR19489737
RD7_seq1_RPE1_21_2	SRR19489142;SRR19489147;SRR19489354;SRR19489356	SRR19489330;SRR19489339;SRR19489340;SRR19489342
RD7_seq1_RPE1_21_3	SRR19489143;SRR19489144;SRR19489355;SRR19489734	SRR19489336;SRR19489338;SRR19489341;SRR19489344
RD7_seq1_RPE1_21_4	SRR19489145;SRR19489352;SRR19489732;SRR19489733	SRR19489335;SRR19489345;SRR19489346;SRR19489348
RD7_seq1_RPE1_22_1	SRR19489717;SRR19489726;SRR19489728;SRR19489730	SRR19489311;SRR19489323;SRR19489328;SRR19489333
RD7_seq1_RPE1_22_2	SRR19489715;SRR19489721;SRR19489724;SRR19489727	SRR19489322;SRR19489324;SRR19489327;SRR19489405
RD7_seq1_RPE1_22_3	SRR19489329;SRR19489718;SRR19489720;SRR19489723	SRR19489321;SRR19489325;SRR19489332;SRR19489406
RD7_seq1_RPE1_22_4	SRR19489716;SRR19489719;SRR19489725;SRR19489729	SRR19489312;SRR19489326;SRR19489407;SRR19489714
RD7_seq1_RPE1_23_1	SRR19489315;SRR19489319;SRR19489395;SRR19489413	SRR19489397;SRR19489398;SRR19489402;SRR19489710
RD7_seq1_RPE1_23_2	SRR19489318;SRR19489410;SRR19489411;SRR19489414	SRR19489399;SRR19489409;SRR19489693;SRR19489708
RD7_seq1_RPE1_23_3	SRR19489316;SRR19489317;SRR19489394;SRR19489415	SRR19489400;SRR19489403;SRR19489694;SRR19489711
RD7_seq1_RPE1_23_4	SRR19489310;SRR19489314;SRR19489320;SRR19489412	SRR19489393;SRR19489401;SRR19489709;SRR19489712
RD7_seq1_RPE1_24_1	SRR19489373;SRR19489690;SRR19489696;SRR19489698	SRR19489379;SRR19489384;SRR19489386;SRR19489391
RD7_seq1_RPE1_24_2	SRR19489692;SRR19489701;SRR19489704;SRR19489707	SRR19489380;SRR19489385;SRR19489388;SRR19489390
RD7_seq1_RPE1_24_3	SRR19489374;SRR19489697;SRR19489700;SRR19489706	SRR19489375;SRR19489377;SRR19489378;SRR19489383
RD7_seq1_RPE1_24_4	SRR19489695;SRR19489699;SRR19489703;SRR19489705	SRR19489376;SRR19489381;SRR19489387;SRR19489389
RD7_seq1_RPE1_25_1	SRR19489125;SRR19489132;SRR19489136;SRR19489368	SRR19489118;SRR19489123;SRR19489128;SRR19489130
RD7_seq1_RPE1_25_2	SRR19489139;SRR19489369;SRR19489370;SRR19489371	SRR19489120;SRR19489122;SRR19489131;SRR19489309
RD7_seq1_RPE1_25_3	SRR19489126;SRR19489133;SRR19489137;SRR19489141	SRR19489129;SRR19489295;SRR19489296;SRR19489307
RD7_seq1_RPE1_25_4	SRR19489127;SRR19489134;SRR19489138;SRR19489140	SRR19489119;SRR19489121;SRR19489297;SRR19489308
RD7_seq1_RPE1_26_1	SRR19489298;SRR19489302;SRR19489306;SRR19489679	SRR19489288;SRR19489681;SRR19489685;SRR19489686
RD7_seq1_RPE1_26_2	SRR19489289;SRR19489291;SRR19489303;SRR19489677	SRR19489286;SRR19489676;SRR19489683;SRR19497013
RD7_seq1_RPE1_26_3	SRR19489290;SRR19489292;SRR19489299;SRR19489678	SRR19489287;SRR19489674;SRR19489684;SRR19489688
RD7_seq1_RPE1_26_4	SRR19489293;SRR19489300;SRR19489301;SRR19489304	SRR19489675;SRR19489680;SRR19489682;SRR19489689
RD7_seq1_RPE1_27_1	SRR19496816;SRR19497012;SRR19497469;SRR19497496	SRR19496926;SRR19497216;SRR19497454;SRR19497667
RD7_seq1_RPE1_27_2	SRR19496773;SRR19496842;SRR19497011;SRR19497256	SRR19496912;SRR19496934;SRR19497474;SRR19497656
RD7_seq1_RPE1_27_3	SRR19497232;SRR19497310;SRR19497561;SRR19497671	SRR19496904;SRR19497458;SRR19497641;SRR19497645
RD7_seq1_RPE1_27_4	SRR19496762;SRR19497000;SRR19497427;SRR19497685	SRR19497231;SRR19497243;SRR19497468;SRR19497485
RD7_seq1_RPE1_28_1	SRR19497148;SRR19497186;SRR19497439;SRR19497631	SRR19496863;SRR19497359;SRR19497399;SRR19497419
RD7_seq1_RPE1_28_2	SRR19497154;SRR19497175;SRR19497426;SRR19497579	SRR19496850;SRR19497117;SRR19497381;SRR19497572
RD7_seq1_RPE1_28_3	SRR19496880;SRR19497165;SRR19497197;SRR19497599	SRR19496833;SRR19497380;SRR19497408;SRR19497546
RD7_seq1_RPE1_28_4	SRR19496893;SRR19497137;SRR19497591;SRR19497610	SRR19496841;SRR19497373;SRR19497393;SRR19497560
RD7_seq1_RPE1_29_1	SRR19497082;SRR19497290;SRR19497301;SRR19497520	SRR19497255;SRR19497277;SRR19497703;SRR19497738
RD7_seq1_RPE1_29_2	SRR19497059;SRR19497069;SRR19497086;SRR19497339	SRR19496802;SRR19496980;SRR19497266;SRR19497713
RD7_seq1_RPE1_29_3	SRR19496812;SRR19497094;SRR19497307;SRR19497322	SRR19496782;SRR19497035;SRR19497715;SRR19497736
RD7_seq1_RPE1_29_4	SRR19497281;SRR19497506;SRR19497527;SRR19497538	SRR19496792;SRR19497698;SRR19497727;SRR19497750
RD7_seq1_RPE1_30_1	SRR19496942;SRR19497001;SRR19497007;SRR19497008	SRR19496767;SRR19496771;SRR19496772;SRR19496992
RD7_seq1_RPE1_30_2	SRR19496999;SRR19497002;SRR19497003;SRR19497004	SRR19496765;SRR19496766;SRR19496769;SRR19496995
RD7_seq1_RPE1_30_3	SRR19496958;SRR19496998;SRR19497005;SRR19497010	SRR19496764;SRR19496991;SRR19496994;SRR19496996
RD7_seq1_RPE1_30_4	SRR19496951;SRR19496997;SRR19497006;SRR19497009	SRR19496768;SRR19496770;SRR19496990;SRR19496993
RD7_seq1_RPE1_31_1	SRR19496761;SRR19497495;SRR19497501;SRR19497691	SRR19497669;SRR19497672;SRR19497682;SRR19497690
